x,computed,exact,rel_error,log10(error)
0,0.000900425,-9.99501e-05,10.0087,1.00038
0.0001,0.00179985,0.000899505,1.00093,0.000405362
0.0002,0.00269828,0.00179801,0.5007,-0.300422
0.0003,0.0035957,0.00269552,0.333956,-0.476311
0.0004,0.00449213,0.00359203,0.250584,-0.601047
0.0005,0.00538757,0.00448754,0.200561,-0.697754
0.0006,0.00628201,0.00538206,0.167212,-0.776733
0.0007,0.00717545,0.00627559,0.143391,-0.843477
0.0008,0.00806791,0.00716812,0.125526,-0.901267
0.0009,0.00895937,0.00805966,0.111631,-0.952217
0.001,0.00984984,0.00895021,0.100514,-0.997772
0.0011,0.0107393,0.00983977,0.0914193,-1.03896
0.0012,0.0116278,0.0107283,0.08384,-1.07655
0.0013,0.0125153,0.0116159,0.0774269,-1.11111
0.0014,0.0134018,0.0125025,0.0719299,-1.14309
0.0015,0.0142874,0.0133881,0.0671658,-1.17285
0.0016,0.0151719,0.0142728,0.0629973,-1.20068
0.0017,0.0160555,0.0151564,0.0593192,-1.22681
0.0018,0.016938,0.016039,0.0560497,-1.25143
0.0019,0.0178196,0.0169207,0.0531245,-1.27471
0.002,0.0187002,0.0178014,0.0504917,-1.29678
0.0021,0.0195799,0.0186811,0.0481097,-1.31777
0.0022,0.0204585,0.0195599,0.0459443,-1.33777
0.0023,0.0213362,0.0204376,0.0439672,-1.35687
0.0024,0.0222129,0.0213144,0.0421548,-1.37515
0.0025,0.0230886,0.0221902,0.0404874,-1.39268
0.0026,0.0239634,0.023065,0.0389483,-1.40951
0.0027,0.0248371,0.0239389,0.0375232,-1.4257
0.0028,0.0257099,0.0248118,0.0361999,-1.44129
0.0029,0.0265818,0.0256837,0.0349679,-1.45633
0.003,0.0274526,0.0265546,0.033818,-1.47085
0.0031,0.0283225,0.0274246,0.0327423,-1.48489
0.0032,0.0291914,0.0282936,0.0317339,-1.49848
0.0033,0.0300594,0.0291616,0.0307865,-1.51164
0.0034,0.0309264,0.0300286,0.0298949,-1.5244
0.0035,0.0317924,0.0308947,0.0290543,-1.53679
0.0036,0.0326574,0.0317599,0.0282603,-1.54882
0.0037,0.0335215,0.032624,0.0275093,-1.56052
0.0038,0.0343846,0.0334872,0.0267978,-1.5719
0.0039,0.0352468,0.0343495,0.0261228,-1.58298
0.004,0.036108,0.0352107,0.0254815,-1.59377
0.0041,0.0369682,0.0360711,0.0248716,-1.6043
0.0042,0.0378275,0.0369304,0.0242907,-1.61456
0.0043,0.0386858,0.0377888,0.0237368,-1.62458
0.0044,0.0395431,0.0386462,0.0232081,-1.63436
0.0045,0.0403995,0.0395027,0.0227028,-1.64392
0.0046,0.041255,0.0403582,0.0222196,-1.65326
0.0047,0.0421095,0.0412128,0.0217569,-1.6624
0.0048,0.042963,0.0420664,0.0213135,-1.67134
0.0049,0.0438156,0.0429191,0.0208882,-1.6801
0.005,0.0446672,0.0437708,0.02048,-1.68867
0.0051,0.0455179,0.0446216,0.0200877,-1.69707
0.0052,0.0463676,0.0454714,0.0197105,-1.7053
0.0053,0.0472164,0.0463202,0.0193476,-1.71337
0.0054,0.0480642,0.0471681,0.0189981,-1.72129
0.0055,0.0489111,0.0480151,0.0186613,-1.72906
0.0056,0.0497571,0.0488611,0.0183365,-1.73668
0.0057,0.0506021,0.0497062,0.0180232,-1.74417
0.0058,0.0514461,0.0505503,0.0177206,-1.75152
0.0059,0.0522892,0.0513935,0.0174284,-1.75874
0.006,0.0531314,0.0522357,0.0171458,-1.76584
0.0061,0.0539726,0.053077,0.0168725,-1.77282
0.0062,0.0548129,0.0539174,0.0166081,-1.77968
0.0063,0.0556522,0.0547568,0.016352,-1.78643
0.0064,0.0564906,0.0555953,0.016104,-1.79307
0.0065,0.0573281,0.0564328,0.0158635,-1.7996
0.0066,0.0581646,0.0572694,0.0156304,-1.80603
0.0067,0.0590002,0.0581051,0.0154042,-1.81236
0.0068,0.0598348,0.0589398,0.0151847,-1.81859
0.0069,0.0606685,0.0597736,0.0149715,-1.82473
0.007,0.0615013,0.0606065,0.0147645,-1.83078
0.0071,0.0623332,0.0614384,0.0145633,-1.83674
0.0072,0.0631641,0.0622694,0.0143676,-1.84262
0.0073,0.0639941,0.0630995,0.0141774,-1.8484
0.0074,0.0648231,0.0639286,0.0139922,-1.85411
0.0075,0.0656513,0.0647569,0.013812,-1.85974
0.0076,0.0664785,0.0655841,0.0136366,-1.86529
0.0077,0.0673048,0.0664105,0.0134657,-1.87077
0.0078,0.0681301,0.0672359,0.0132992,-1.87617
0.0079,0.0689545,0.0680604,0.0131369,-1.88151
0.008,0.069778,0.068884,0.0129787,-1.88677
0.0081,0.0706006,0.0697067,0.0128244,-1.89196
0.0082,0.0714223,0.0705284,0.0126738,-1.89709
0.0083,0.072243,0.0713492,0.0125269,-1.90216
0.0084,0.0730628,0.0721691,0.0123835,-1.90716
0.0085,0.0738817,0.0729881,0.0122434,-1.9121
0.0086,0.0746997,0.0738062,0.0121066,-1.91698
0.0087,0.0755168,0.0746233,0.011973,-1.9218
0.0088,0.0763329,0.0754395,0.0118424,-1.92656
0.0089,0.0771481,0.0762548,0.0117147,-1.93127
0.009,0.0779624,0.0770692,0.0115899,-1.93592
0.0091,0.0787758,0.0778827,0.0114678,-1.94052
